"task_name","mean_forester_time","mean_h2o_time","mean_difference","mean_relative_diff"
"2dplanes",401,1050.67,-649.67,0.38
"bank32nh",708.67,1214.67,-506,0.58
"elevators",720.33,1435.33,-715,0.5
"kin8nm",544.67,1564,-1019.33,0.35
"Mercedes_Benz_Greener_Manufacturing",848,1371.67,-523.67,0.61
"pol",756,1548.33,-792.33,0.49
"wine_quality",1317.33,2130,-812.67,0.63
