"task_name","rep","rmse","mse","r2","mae","framework"
"bank32nh",1,0.000109800977053927,1.2056254561997e-08,0.999999197520048,1.16419670706568e-05,"forester"
"bank32nh",2,0.00349532121190911,1.22172703744217e-05,0.999191908653041,0.00263863713745287,"forester"
"bank32nh",3,7.34741696537379e-07,5.39845360630626e-13,0.999999999963878,6.54700098516449e-07,"forester"
"wine_quality",1,0.064671647006308,0.00418242192650851,0.994507624719444,0.0154390059151032,"forester"
"wine_quality",2,0.0820220669862913,0.00672761947270366,0.99116500226598,0.0601478554308652,"forester"
"wine_quality",3,0.0652343482302394,0.00425552018902414,0.994411296205008,0.0167795321053052,"forester"
"Mercedes_Benz_Greener_Manufacturing",1,2.26328876816892,5.12247604811958,0.968323835507382,0.379367055831562,"forester"
"Mercedes_Benz_Greener_Manufacturing",2,2.21104925018729,4.88873878675379,0.968550637497826,1.48019631963598,"forester"
"Mercedes_Benz_Greener_Manufacturing",3,2.89485868806979,8.38020682389313,0.950943100987244,0.465123126799517,"forester"
"kin8nm",1,0.000156922058126076,2.46245323265237e-08,0.999999646733383,9.19267247730583e-06,"forester"
"kin8nm",2,0.0185366845083449,0.000343608672561914,0.995025308275884,0.0142264852984943,"forester"
"kin8nm",3,0.018196600560671,0.000331116271964611,0.995250231018286,0.0140116444819618,"forester"
"pol",1,0.969821876949968,0.940554473010758,0.999459904549609,0.446675845535346,"forester"
"pol",2,0.716046437672124,0.512722500902939,0.999706495625882,0.32622650064972,"forester"
"pol",3,1.73098883403778,2.99632234356348,0.998277611091078,1.32408034534849,"forester"
"2dplanes",1,0.623456265845694,0.388697715422257,0.97991775404643,0.290165954026782,"forester"
"2dplanes",2,0.86345746643503,0.745558796342401,0.961428408875267,0.687855787413221,"forester"
"2dplanes",3,0.603984172599414,0.364796880750598,0.981138300862974,0.292032592808189,"forester"
"elevators",1,0.000311472685755859,9.70152339719682e-08,0.997881308074703,5.98864941870337e-05,"forester"
"elevators",2,0.00140345359495349,1.96968199318787e-06,0.956758684633149,0.0010642644347471,"forester"
"elevators",3,0.000948108838024503,8.98910368740174e-07,0.980155378316372,0.000715172742331983,"forester"
"bank32nh",1,0.0497134360825944,0.0024714257271382,0.835498695849651,0.0345235573923491,"h2o"
"bank32nh",2,0.0594318281838269,0.00353214220127192,0.76637223687443,0.0410140227549036,"h2o"
"bank32nh",3,0.052633170676845,0.00277025065549789,0.814639176694278,0.0353965144602139,"h2o"
"wine_quality",1,0.129639672905199,0.016806444790967,0.977929701128696,0.0996635463067817,"h2o"
"wine_quality",2,0.198487337443734,0.0393972231255026,0.948261880973984,0.150131138404308,"h2o"
"wine_quality",3,0.155410954390902,0.024152564744691,0.968280838945236,0.121344494566915,"h2o"
"Mercedes_Benz_Greener_Manufacturing",1,8.26147528605532,68.2519739021028,0.577946147144506,5.11665805926608,"h2o"
"Mercedes_Benz_Greener_Manufacturing",2,7.25333908793259,52.6109279245308,0.661552761142101,4.80149028769436,"h2o"
"Mercedes_Benz_Greener_Manufacturing",3,7.9045013954125,62.4811423100782,0.634241594161131,4.88537124456665,"h2o"
"kin8nm",1,0.0684769169654611,0.00468908815709465,0.932729755599926,0.0523733375785537,"h2o"
"kin8nm",2,0.0635865651709595,0.00404325127024068,0.941462686367548,0.0484075820025795,"h2o"
"kin8nm",3,0.0669698773755106,0.00448496447569092,0.935664457006803,0.0512655408468725,"h2o"
"pol",1,1.75798978148038,3.09052807178943,0.998225323254766,0.801192448917965,"h2o"
"pol",2,1.80453608729145,3.25635049033713,0.998135925162459,0.790913142627867,"h2o"
"pol",3,1.84554654512442,3.40604205022067,0.998042090143196,0.896322966690836,"h2o"
"2dplanes",1,0.975215329500891,0.951044938893531,0.950863826521312,0.777754407011918,"h2o"
"2dplanes",2,0.991245771021391,0.982568178567791,0.94916669453594,0.790575575674698,"h2o"
"2dplanes",3,0.986126743536395,0.972445954317694,0.949720011367371,0.787535635739412,"h2o"
"elevators",1,0.00159225541341012,2.53527730153384e-06,0.944632700172624,0.00113587774080266,"h2o"
"elevators",2,0.00153872284747423,2.3676680013392e-06,0.94802151865936,0.00114164003870343,"h2o"
"elevators",3,0.00175625629000112,3.08443615616849e-06,0.931907039060801,0.00131572755566463,"h2o"
